datetime,daily_active_addresses,network_growth,age_destroyed,average_token_age_consumed_in_days,transaction_volume,velocity,circulation_1d,daily_active_deposits,github_activity,exchange_funds_flow,priceBtc,priceUsd
2019-01-12,430.0,120.0,26152509.818655916,34.39717194072619,760309.8843045116,1.738044223653132,437451.4031101258,40.0,3.0,24886.406003697004,0.000356290113401,1.30270227988
2019-01-13,482.0,149.0,51122146.303630486,41.760502301940676,1224174.6024509578,2.392105884494626,511756.02651451377,55.0,6.0,-118020.8712781562,0.000339642216289,1.20290824522
2019-01-14,607.0,151.0,897865421.0350598,279.20162066741904,3215831.6949907094,1.2218004338158603,2632043.340291838,91.0,119.0,-2103979.2057197415,0.00035053833926,1.29643261149
2019-01-15,512.0,149.0,9003779.123906655,8.266076602751328,1089244.5783662093,2.7456247877436106,396720.1138438748,58.0,100.0,62103.81154802128,0.00034299109156199996,1.24416477592
2019-01-16,494.0,142.0,7017551.322589051,9.74319331112059,720251.677094349,2.0648578305148146,348814.1732812537,53.0,74.0,38648.91623029165,0.0003502979796706453,1.2802169024899999
2019-01-17,578.0,158.0,44180089.42040113,38.96325909305954,1133891.0155046766,2.073613243257182,546818.9495759535,80.0,120.0,141046.6320419185,0.000355934254203,1.30837525404
2019-01-18,548.0,118.0,49432409.79380737,33.49131522995884,1475976.9646068958,2.4849937217923888,593956.0135155171,81.0,83.0,371127.0402936827,0.000350647546135,1.28179076808
2019-01-19,506.0,142.0,8771839.302135076,6.1295298787561645,1431078.6431658776,2.0546298244465846,696514.1000770491,56.0,4.0,-62654.07756161699,0.000351663404708,1.31070288737
2019-01-20,532.0,134.0,8793502.653193088,9.032995693767605,973486.8643035273,3.2479663346046763,299721.9687691177,64.0,0.0,7180.12924794659,0.000352049059493,1.26630988045
2019-01-21,453.0,131.0,5032716.7191684125,8.64499094569513,582154.0763642449,2.966471487510096,196244.62221036747,57.0,76.0,-31672.81640965544,0.00035726861355289837,1.27753699044
2019-01-22,498.0,146.0,18445285.560044747,22.77287447573291,809967.3837705597,1.9845780816333347,408130.7716066004,84.0,77.0,34354.80684985799,0.00036040735643500004,1.29893316506
2019-01-23,478.0,113.0,192830596.30378088,150.55138511196265,1280829.108017678,1.6088540011758405,796112.7032543516,63.0,86.0,196095.57050942702,0.00035642915043099997,1.27689037284
2019-01-24,505.0,117.0,50240080.83448367,32.60171548437543,1541025.6818712985,1.7925571539328813,859680.0824399248,55.0,126.0,267737.7120279533,0.00035127531881,1.26500677663
2019-01-25,479.0,128.0,14702009.67591647,14.29613526080434,1028390.4990899821,1.816686552090534,566080.316886021,66.0,72.0,-673.7235190033269,0.00034713859346706323,1.2497150803700001
2019-01-26,407.0,89.0,59926376.264542885,35.906154387919116,1668972.2774852633,1.8654492863662422,894675.7704339949,52.0,1.0,369886.3229255287,0.000346050946227,1.24517081363
2019-01-27,579.0,141.0,238060638.70247126,73.44610933627213,3241296.7937146034,2.6129338902021657,1240481.7457757501,76.0,0.0,-221775.95532143395,0.000329174800342,1.17810095394
2019-01-28,740.0,215.0,22988681.58341266,13.915396031987022,1652032.1470239908,2.7427330677787953,602330.633787083,122.0,120.0,-152250.18973206077,0.000322565633906,1.11830564229
2019-01-29,551.0,176.0,22536957.570938017,21.670459648896422,1039985.2119466112,2.1341332428337028,487310.3473922368,63.0,107.0,-104230.1804714525,0.000322844069964,1.11231111869
2019-01-30,511.0,163.0,26647578.36773213,42.9917996727088,619829.3295604462,2.322709728722681,266856.1301033974,67.0,122.0,-37229.49732992286,0.000326306273392,1.13683345615
2019-01-31,512.0,144.0,253184489.2136195,118.80831597279735,2131033.3972883625,1.8229527468402111,1169000.8975724443,52.0,91.0,79760.3577744955,0.00031679032125800003,1.09405355674
2019-02-01,542.0,159.0,7146725.507284632,7.059221076363947,1012395.7629282455,2.3680022312509856,427531.5916376527,48.0,96.0,-117444.93245621043,0.00031368238656799996,1.0933135232
2019-02-02,408.0,110.0,3418053.4660657006,9.291263501171997,367878.2186765606,1.9947909543865316,184419.43396003428,30.0,1.0,-117358.84684361007,0.00031377823828500004,1.10360647783
2019-02-03,400.0,108.0,12661079.996590449,16.27324413502863,778030.4831374782,1.85605060693403,419186.0287811279,45.0,7.0,-111836.76810604468,0.0003178300080915028,1.10028011593
2019-02-04,413.0,87.0,33445737.432752155,46.23716912478672,723351.7550022898,1.6513766743092735,438029.53393710003,42.0,87.0,-17121.33035302396,0.000320350720006,1.10923685639
2019-02-05,433.0,137.0,39850012.52691944,11.151396167088048,3573544.687124629,3.3231260172331933,1075356.3568136762,39.0,71.0,-113149.6389996201,0.000311287388218,1.07989417263
2019-02-06,504.0,140.0,238473512.21480826,57.02307622615548,4182052.740701222,2.253357094739616,1855920.9947078852,47.0,43.0,-409526.4527512536,0.000300255346499,1.02312000122
2019-02-07,475.0,126.0,222100383.1850299,49.50715747500409,4486227.739840795,2.77871491698639,1614497.3032016763,61.0,98.0,921987.0900329548,0.000304698900657,1.0353163401
2019-02-08,549.0,131.0,65705214.3114301,12.94242751879431,5076730.328681888,2.3032348123623456,2204174.0170967868,68.0,54.0,432963.44587451336,0.000312538976753,1.14530849176
2019-02-09,497.0,120.0,5963503.805602251,6.662657969892156,895063.7767315523,2.4227795788962614,369436.7347851405,46.0,2.0,-24939.09280078308,0.000314326313747,1.1518568227000001
2019-02-10,558.0,158.0,19435157.60244658,9.114508332080202,2132331.9804361747,3.45806848279079,616625.1452357897,71.0,2.0,34038.60598956695,0.000323412458151,1.19276531067
2019-02-11,471.0,139.0,6991328.391191833,10.261913270153013,681288.9767375307,2.7768811070358166,245343.2287797057,48.0,97.0,16515.64753541021,0.000316340248605,1.15453483635
2019-02-12,462.0,124.0,53187916.47486979,49.13744835191916,1082431.3890689122,1.9319917967882845,560267.073011558,48.0,111.0,77667.45249257452,0.00031769721572678965,1.16072534354
2019-02-13,489.0,125.0,47359297.65163943,36.76192973916066,1288270.1748159304,2.6857161586037925,479674.7305886769,47.0,102.0,-46786.52283723792,0.00031497075519100004,1.1427153000299999
2019-02-14,408.0,115.0,8583973.506000219,16.099735025915994,533174.8312740837,2.51542094151922,211962.46817920892,28.0,41.0,-94715.74332589492,0.00031163630109899996,1.12514841745
2019-02-15,404.0,106.0,12271230.98562541,19.347186016656362,634264.3821722124,2.4917138544196504,254549.4463769158,40.0,71.0,-77334.37510043466,0.000314317141427,1.13780035862
2019-02-16,620.0,162.0,12526593.614910014,9.149580325471263,1369089.4193297133,2.639432768835229,518705.92632442387,63.0,6.0,-120358.02496603307,0.000335914349785,1.21869629945
2019-02-17,642.0,211.0,76174576.83697814,31.823768287108134,2393637.866821595,2.4778810376081766,966001.930880467,69.0,8.0,284662.489409324,0.000333634144578,1.22336300678
2019-02-18,734.0,188.0,49780168.85521681,20.731701607289573,2401161.747268894,2.6786926040149632,896393.1672002656,78.0,73.0,-85202.53689003464,0.00033566625465,1.31392616443
