datetime,daily_active_addresses,network_growth,age_destroyed,average_token_age_consumed_in_days,transaction_volume,velocity,circulation_1d,daily_active_deposits,github_activity,exchange_funds_flow,priceBtc,priceUsd
2019-03-19,890.0,272.0,234710244.69354627,4.600040264840753,51023519.61731615,2.89205215739007,17642669.232965127,98.0,7.0,-2911022.8282467835,4.64760639935e-05,0.189212330369
2019-03-20,910.0,318.0,167275348.35415083,2.6527012036122293,63058496.04409606,1.8344994744078502,34373678.99189531,68.0,2.0,1044228.3060762191,4.5971650243399995e-05,0.187751055942
2019-03-21,909.0,277.0,268072794.14956948,5.8940383163886185,45482024.33706311,3.6800997625190783,12358910.701358259,75.0,3.0,994067.6977404364,4.7303867039199996e-05,0.190505495074
2019-03-22,961.0,377.0,125286320.06389898,2.5141800447224734,49831880.70674898,3.0121479147812082,16543636.672758985,111.0,3.0,3199067.920137367,4.7293446659200006e-05,0.190056277708
2019-03-23,988.0,453.0,362342302.55934566,14.396298247628396,25169130.030981172,2.4314501274959155,10351489.321684007,53.0,4.0,-3768352.716040508,4.5876717419300005e-05,0.18494256831
2019-03-24,2317.0,1690.0,130970217.42135012,3.3887484022530296,38648551.58154376,2.5958611536203895,14888528.043050969,62.0,2.0,-3704795.16636316,4.59818966283533e-05,0.184828336214
2019-03-25,3006.0,2360.0,304338485.71024513,6.094314277846519,49938101.61982418,2.4601071370643974,20299157.247035358,52.0,6.0,-5829623.217067262,4.28831302567e-05,0.169525028879
2019-03-26,4339.0,3674.0,177855794.79443413,5.483590763180098,32434184.547223628,1.9645372789426214,16509834.09420503,64.0,5.0,-11161125.065473523,4.1607776308200005e-05,0.165489510849
2019-03-27,4483.0,3789.0,154268652.54670057,6.10648326402188,25263092.66343513,1.7096576443294247,14776696.812503666,67.0,5.0,1131352.3714733522,4.1308264602099995e-05,0.168600650797
2019-03-28,1012.0,464.0,142858803.72336826,6.871557372862987,20789872.8005304,2.863995302108697,7259045.706263304,57.0,4.0,2854758.338536007,4.05487678885e-05,0.164759607492
2019-03-29,1084.0,370.0,359629543.70428526,8.65150962534542,41568415.14118144,2.0509460183402553,20267922.59253171,43.0,8.0,-3687866.2093282593,3.8506525623e-05,0.15824200046
2019-03-30,949.0,281.0,162157047.01830548,12.450562619425016,13024073.849105623,2.7875542095906525,4672222.625947855,47.0,7.0,-156927.4679608611,3.65546905264e-05,0.149815229804
2019-03-31,752.0,245.0,106674606.64021789,9.823866989529746,10858718.542699276,2.6301621553616856,4128535.771288232,50.0,10.0,1137612.3450126306,3.67062928598e-05,0.150422819977
2019-04-01,668.0,159.0,187223356.41134202,10.698126149390504,17500574.75458061,2.157924933778615,8109908.9595931275,46.0,4.0,1429242.3812493328,3.61561430691e-05,0.150043814138
2019-04-02,855.0,236.0,143767439.1263167,4.708528282523842,30533413.096385866,2.8315378169253194,10783332.263434585,64.0,4.0,-1825502.978813013,3.14166228157e-05,0.153160370118
2019-04-03,832.0,212.0,142861815.5948659,7.031175745085516,20318339.460469335,2.526113735987016,8043319.337136043,66.0,4.0,-644595.5914111696,2.9889283930130453e-05,0.148588828576
2019-04-04,850.0,243.0,316595878.5950844,7.625588869153334,41517564.61402771,2.286608982639367,18156827.39342045,65.0,5.0,-876592.1971914917,3.33364720852e-05,0.163809890897
2019-04-05,689.0,207.0,115286970.0239659,5.860717147116916,19671137.017878335,2.5462472564185803,7725540.780963579,36.0,8.0,-2453810.184803697,3.1187934902599996e-05,0.15705906194
2019-04-06,590.0,150.0,51895575.95434695,3.4623104312629764,14988712.59080502,2.2961249488023943,6527829.680446073,37.0,7.0,-211444.6030220989,3.01992795079e-05,0.152713603746
2019-04-07,666.0,171.0,64502003.59939569,6.597294494358533,9777038.701933417,2.3015635947527984,4247998.5016375575,39.0,14.0,1841589.8986268989,2.9655270106699997e-05,0.153956572715
2019-04-08,726.0,195.0,388924865.2279659,16.316190259217972,23836744.91710707,2.543045928910549,9373304.919946479,42.0,4.0,-2126263.749952458,2.7698394667800002e-05,0.146357639877
2019-04-09,727.0,176.0,218637245.70769516,6.922469661099741,31583705.875420336,2.7106125559140013,11651870.27799719,53.0,6.0,444893.22574208945,2.9000350864740348e-05,0.150945619212
2019-04-10,609.0,154.0,46144334.14027418,4.0902476209329235,11281550.267059227,2.9498774656276616,3824413.1827553045,24.0,4.0,-1892743.7873808905,2.79961569998e-05,0.148750956253
2019-04-11,746.0,321.0,289861879.4279673,19.30851319339905,15012128.408056898,2.549624856643781,5887975.389374826,44.0,4.0,375311.8943555043,2.7130081474200002e-05,0.137210328999
2019-04-12,850.0,372.0,207404485.50842848,11.607299973755081,17868452.265159387,2.5497003563940495,7008059.680561878,31.0,4.0,1863929.563157895,2.82430458348e-05,0.143542160897
2019-04-13,1036.0,378.0,409766620.52280694,12.993645410700985,31535924.49008507,1.9064343509721127,16541836.058506005,80.0,4.0,-1673212.4760920147,3.3150977691799996e-05,0.168543507759
2019-04-14,846.0,251.0,77357720.53150477,2.3734638726845616,32592752.48373908,3.2483679282207616,10033577.847073259,64.0,0.0,-1301949.7746446093,3.17177479699e-05,0.163431733586
